uf;n_unidades;pop_total;cap_total;taxa_med;taxa_mediana;pct_super;media_prec;media_press
PI;18;9097;5918.0;1.8642793109870677;2.069099893026336;0.8888888888888888;0.16666666666666666;0.1605573614861002
MS;52;24920;14356.0;1.9273275303808077;1.7307692307692308;0.5576923076923077;0.6923076923076923;-0.07479915059672425
ES;59;26421;18948.0;1.5580717240753255;1.68;0.5423728813559322;1.11864406779661;0.008823368046046018
RN;30;14079;15420.0;1.5558265706794894;1.5264238773274919;0.5;1.1666666666666667;-0.0359184444561059
DF;10;28644;14881.0;1.2505675099106177;1.515625;0.6;0.6;-0.23814412787602604
MG;220;81083;59229.0;1.7624338324790556;1.505717998700455;0.7318181818181818;0.6227272727272727;0.11205373893335042
SP;181;214159;164753.0;1.3406406344090662;1.464068209500609;0.7734806629834254;0.23204419889502761;-0.19829176717930921
RS;112;49954;38487.0;1.592925195038415;1.4444444444444444;0.7053571428571429;0.6696428571428571;-0.06379690267568347
CE;33;39995;27610.0;1.299188437964565;1.3572741596638656;0.7272727272727273;0.30303030303030304;0.13160592613645555
PR;125;107287;51197.0;1.6014990384471233;1.325;0.728;0.848;0.04550890611478367
RR;9;5140;3014.0;1.2291200717698743;1.315821876867902;0.4444444444444444;1.2222222222222223;-0.36436569605368935
SC;55;32819;27752.0;1.314601943997719;1.300531914893617;0.8;0.23636363636363636;-0.15976401678420252
BA;27;17658;13658.0;1.2566265937604402;1.2848392036753449;0.6666666666666666;0.18518518518518517;0.05066512670739668
PB;63;16674;11070.0;1.806010677874834;1.28125;0.6349206349206349;0.6349206349206349;-0.003557691621298627
RJ;54;74793;45762.0;1.2819287879727133;1.2074800371402041;0.5740740740740741;0.35185185185185186;-0.01342078124563758
GO;83;30165;24173.0;1.4173687721641879;1.1388888888888888;0.5542168674698795;0.5662650602409639;0.1510231873248136
PA;56;19991;21081.0;1.2298184229037936;1.1385447344368844;0.6428571428571429;0.44642857142857145;-0.030260217299906363
AM;33;12488;12148.0;1.2084132741381064;1.117117117117117;0.3333333333333333;1.7575757575757576;0.21231861252243645
SE;11;7602;5399.0;1.3139206557355223;1.03125;0.5454545454545454;0.2727272727272727;-0.028849588641513227
MT;42;20889;22521.0;1.1788055261327572;1.0070300312012481;0.5238095238095238;0.40476190476190477;0.10069122063119257
TO;27;5267;5085.0;1.2063017160547718;1.0;0.48148148148148145;0.3333333333333333;-0.052741917377030184
AC;16;8424;7133.0;1.0096045353728524;1.0;0.3125;1.25;-0.21965625751655396
AP;11;6812;5487.0;0.958661523539846;0.9976503759398496;0.2727272727272727;0.9090909090909091;-0.07326229810929405
RO;75;15654;13228.0;1.0513321541340919;0.9877112135176652;0.3333333333333333;1.24;-0.33424207393975935
MA;56;14040;14105.0;1.0542383059893636;0.9603921568627451;0.48214285714285715;0.08928571428571429;-0.1352077573854215
PE;84;39600;22345.0;1.2876570828805545;0.9583333333333334;0.32142857142857145;1.6428571428571428;0.3832541974196196
AL;13;14417;6920.0;0.9341223133837552;0.9526315789473684;0.15384615384615385;0.9230769230769231;0.027471874292338643
